acl 2.3.1-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 44.0-1
adwaita-icon-theme 44.0-1
alsa-lib 1.2.9-1
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.9-1
alsa-utils 1.2.9-1
ansible 8.0.0-1
ansible-core 2.15.0-1
aom 3.6.1-1
apache 2.4.57-1
apparmor 3.1.5-1
appstream 0.16.2-1
apr 1.7.3-1
apr-util 1.6.3-1
arandr 0.1.11-2
archlinux-keyring 20230504-1
archlinux-wallpaper 1.6.1-6
argon2 20190702-5
arm-none-eabi-gdb 13.1-2
at 3.2.5-2
at-spi2-core 2.48.3-1
atkmm 2.28.3-1
attica 5.107.0-1
attr 2.5.1-3
audiofile 0.3.6-8
audit 3.1.1-1
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r22+gfd482a7-1
babl 0.1.106-1
base 3-1
bash 5.1.016-4
bat 0.23.0-3
binutils 2.40-6
bison 3.8.2-5
blas 3.11.0-2
bluez 5.66-1
bluez-libs 5.66-1
blugon 1.12.1-1
boost-libs 1.81.0-6
breeze 5.27.6-1
breeze-icons 5.107.0-1
bridge-utils 1.7.1-1
brotli 1.0.9-12
btop 1.2.13-1
btrfs-progs 6.3.2-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.19.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.90-1
ca-certificates-utils 20220905-1
cairo 1.17.8-2
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
cava 0.8.3-1
cblas 3.11.0-2
cdparanoia 10.2-8
chromaprint 1.5.1-7
chrpath 0.16-4
clang 15.0.7-9
cmatrix 2.0-2
compiler-rt 15.0.7-2
containerd 1.7.2-1
coreutils 9.3-1
cpputest 4.0-4
cronie 1.6.1-1
cryptsetup 2.6.1-3
curl 8.1.2-1
cython 0.29.35-2
dav1d 1.2.1-1
db 6.2.32-1
db5.3 5.3.28-2
dbus 1.14.8-1
dbus-glib 0.112-3
dbus-python 1.3.2-2
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.21-1
dhclient 4.4.3.P1-2
diffutils 3.10-1
dmraid 1.0.0.rc16.3-14
dnssec-anchors 20190629-3
docker 1:24.0.2-1
dog 0.1.0-4
dosfstools 4.2-3
double-conversion 3.3.0-1
duktape 2.7.0-6
dvisvgm 3.0.4-1
e2fsprogs 1.47.0-1
earlyoom 1.7-1
editline 1.17.1-2
efibootmgr 18-2
efivar 38-3
exa 0.10.1-7
exiv2 0.28.0-2
expat 2.5.0-1
faad2 2.10.1-1
fakeroot 1.31-2
fd 8.7.0-1
feh 3.10-1
ffcall 2.4-2
ffmpeg 2:6.0-8
fftw 3.3.10-4
file 5.44-3
filesystem 2023.01.31-1
findutils 4.9.0-3
firefox 114.0.2-1
flac 1.4.2-1
flatpak 1:1.15.4-1
flex 2.6.4-5
fluidsynth 2.3.3-1
fmt 9.1.0-4
fontconfig 2:2.14.2-1
frameworkintegration 5.107.0-1
freeglut 3.4.0-1
freetype2 2.13.0-1
fribidi 1.0.13-2
fuse-common 3.14.1-1
fuse3 3.14.1-1
fzf 0.42.0-1
gawk 5.2.2-1
gc 8.2.4-1
gcc 13.1.1-1
gcc-libs 13.1.1-1
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-6
gdb 13.1-3
gdb-common 13.1-3
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gegl 0.4.44-3
geoclue 2.7.0-1
gettext 0.21.1-5
ghostscript 10.01.2-1
giflib 5.2.1-2
gimp 2.10.34-2
girara 0.4.0-1
git 2.41.0-1
github-cli 2.31.0-1
glib-networking 1:2.76.0-2
glib2 2.76.3-1
glibc 2.37-3
glibmm 2.66.6-1
glu 9.0.2-3
gmp 6.2.1-2
gnome-desktop-4 1:44.0-1
gnome-desktop-common 1:44.0-1
gnome-keyring 1:42.1-3
gnu-free-fonts 20120503-8
gnupg 2.2.41-1
gnutls 3.8.0-1
go 2:1.20.5-1
go-tools 4:0.10.0-1
gobject-introspection-runtime 1.76.1-3
google-chrome 112.0.5615.121-1
gperftools 2.10-3
gpgme 1.20.0-3
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphite 1:1.3.14-3
graphviz 8.0.5-2
grep 3.11-1
groff 1.22.4-10
grub 2:2.06.r566.g857af0e17-1
gsettings-desktop-schemas 44.0-1
gsfonts 20200910-3
gsm 1.0.22-1
gssdp 1.6.2-1
gst-plugins-bad-libs 1.22.4-1
gst-plugins-base 1.22.4-1
gst-plugins-base-libs 1.22.4-1
gstreamer 1.22.4-1
gtk-update-icon-cache 1:4.10.4-1
gtk2 2.24.33-3
gtk3 1:3.24.38-1
gtk4 1:4.10.4-1
gtkmm 1:2.24.5-4
gtkmm3 3.24.7-1
gts 0.7.6.121130-2
guile 3.0.9-1
gumbo-parser 0.10.1-2
gupnp 1:1.6.3-1
gupnp-igd 1.6.0-1
gzip 1.12-2
harfbuzz 7.3.0-1
harfbuzz-icu 7.3.0-1
hicolor-icon-theme 0.17-3
hidapi 0.14.0-1
highway 1.0.4-1
http-parser 2.9.4-1
hwdata 0.371-1
hwloc 2.9.1-1
iana-etc 20230524-1
icu 72.1-2
id3lib 3.8.3-18
ijs 0.35-5
imagemagick 7.1.1.11-2
imath 3.1.9-1
imlib2 1.11.1-1
iniparser 4.1-4
iproute2 6.3.0-2
iptables 1:1.8.9-1
iputils 20221126-2
iso-codes 4.15.0-1
jack2 1.9.22-1
jansson 2.14-2
jasper 4.0.0-1
java-environment-common 3-5
java-runtime-common 3-5
jbig2dec 0.19-1
jdk17-openjdk 17.0.7.u7-1
jemalloc 1:5.3.0-2
jq 1.6-4
jre17-openjdk 17.0.7.u7-1
jre17-openjdk-headless 17.0.7.u7-1
json-c 0.16-1
json-glib 1.6.6-2
kactivities 5.107.0-1
karchive 5.107.0-1
kauth 5.107.0-1
kbd 2.6.0-1
kbookmarks 5.107.0-1
kcmutils 5.107.0-1
kcodecs 5.107.0-1
kcompletion 5.107.0-1
kconfig 5.107.0-1
kconfigwidgets 5.107.0-1
kcoreaddons 5.107.0-1
kcrash 5.107.0-1
kdbusaddons 5.107.0-1
kdeclarative 5.107.0-1
kdecoration 5.27.6-1
kded 5.107.0-1
keyutils 1.6.3-2
kglobalaccel 5.107.0-1
kguiaddons 5.107.0-1
ki18n 5.107.0-1
kiconthemes 5.107.0-1
kidletime 5.107.0-1
kio 5.107.0-2
kirigami2 5.107.0-1
kitemviews 5.107.0-1
kitty 0.28.1-2
kitty-shell-integration 0.28.1-2
kitty-terminfo 0.28.1-2
kjobwidgets 5.107.0-1
kmod 30-3
knewstuff 5.107.0-1
knotifications 5.107.0-1
kpackage 5.107.0-1
krb5 1.20.1-1
kscreenlocker 5.27.6-1
kservice 5.107.0-1
ktextwidgets 5.107.0-1
kwallet 5.107.0-1
kwayland 5.107.0-1
